,neighbourhood_group,price,minimum_nights,number_of_reviews,price_category,availability_365
6275,Manhattan,260,3,20,Medium,283
6277,Manhattan,1500,30,24,High,358
6284,Brooklyn,110,1,38,Medium,46
6286,Manhattan,150,2,42,Medium,258
6289,Manhattan,110,30,12,Medium,332
6292,Manhattan,155,1,242,Medium,238
6296,Brooklyn,149,15,22,Medium,0
6301,Manhattan,129,12,20,Medium,193
6312,Manhattan,150,7,23,Medium,0
6320,Brooklyn,180,4,20,Medium,208
6327,Manhattan,260,2,54,Medium,16
6330,Brooklyn,126,1,44,Medium,7
6331,Manhattan,399,2,122,High,109
6336,Manhattan,147,2,45,Medium,154
6341,Brooklyn,180,3,103,Medium,0
6343,Brooklyn,122,3,48,Medium,256
6344,Manhattan,105,3,29,Medium,0
6348,Manhattan,107,2,92,Medium,157
6352,Manhattan,175,4,57,Medium,0
6356,Queens,119,3,26,Medium,319
6357,Queens,150,3,149,Medium,133
6359,Brooklyn,115,2,214,Medium,108
6363,Manhattan,129,2,13,Medium,176
6370,Manhattan,225,5,13,Medium,0
6371,Brooklyn,120,7,23,Medium,196
6374,Manhattan,140,4,13,Medium,0
6375,Brooklyn,130,200,271,Medium,64
6376,Manhattan,325,5,64,High,330
6383,Manhattan,160,14,20,Medium,43
6384,Brooklyn,135,2,88,Medium,0
6385,Manhattan,109,3,42,Medium,7
6387,Manhattan,189,4,25,Medium,191
6388,Brooklyn,125,3,56,Medium,19
6395,Manhattan,230,1,46,Medium,353
6396,Manhattan,450,5,81,High,303
6397,Manhattan,895,1,66,High,365
6399,Queens,120,3,18,Medium,0
6400,Brooklyn,140,2,18,Medium,0
6404,Brooklyn,140,3,148,Medium,0
6409,Manhattan,275,3,41,Medium,258
6411,Queens,195,3,86,Medium,248
6413,Manhattan,125,30,31,Medium,346
6419,Manhattan,199,4,108,Medium,162
6420,Brooklyn,170,3,22,Medium,0
6435,Manhattan,112,10,38,Medium,157
6439,Manhattan,110,7,11,Medium,0
6444,Brooklyn,250,1,185,Medium,209
6446,Manhattan,250,4,26,Medium,102
6457,Brooklyn,119,4,19,Medium,0
6461,Manhattan,200,7,28,Medium,363
6463,Manhattan,120,3,25,Medium,89
6475,Manhattan,175,3,44,Medium,280
6479,Queens,105,1,19,Medium,364
6483,Manhattan,120,3,133,Medium,4
6488,Queens,150,3,63,Medium,187
6489,Manhattan,170,3,94,Medium,7
6492,Brooklyn,525,6,28,High,365
6493,Manhattan,249,1,67,Medium,0
6495,Manhattan,125,1,142,Medium,266
6499,Manhattan,150,30,31,Medium,213
6501,Manhattan,1000,2,95,High,353
6523,Brooklyn,109,1,18,Medium,0
6533,Bronx,110,1,15,Medium,325
6536,Brooklyn,175,3,19,Medium,88
6538,Queens,375,2,30,High,351
6540,Manhattan,258,3,57,Medium,320
6542,Brooklyn,118,30,29,Medium,295
6544,Manhattan,154,4,17,Medium,0
6547,Manhattan,145,2,93,Medium,193
6548,Manhattan,250,2,11,Medium,0
6550,Manhattan,155,1,193,Medium,37
6557,Manhattan,125,1,73,Medium,154
6566,Brooklyn,298,3,16,Medium,4
6568,Manhattan,110,15,26,Medium,0
6577,Manhattan,220,4,149,Medium,287
6594,Queens,107,7,105,Medium,261
6601,Brooklyn,129,5,48,Medium,91
6602,Manhattan,198,3,103,Medium,0
6603,Manhattan,185,1,121,Medium,337
6610,Brooklyn,110,4,14,Medium,0
6613,Manhattan,400,3,42,High,363
6617,Manhattan,250,2,23,Medium,0
6619,Manhattan,235,6,13,Medium,0
6627,Manhattan,225,1,14,Medium,0
6632,Brooklyn,175,4,27,Medium,11
6634,Manhattan,125,1,39,Medium,0
6636,Brooklyn,165,5,26,Medium,0
6642,Brooklyn,148,30,16,Medium,195
6643,Brooklyn,150,5,12,Medium,9
6644,Manhattan,175,1,41,Medium,0
6653,Manhattan,105,2,49,Medium,193
6655,Queens,130,1,186,Medium,292
6656,Brooklyn,149,2,145,Medium,305
6662,Brooklyn,145,5,11,Medium,40
6664,Manhattan,275,30,39,Medium,365
6669,Manhattan,175,2,188,Medium,203
6670,Brooklyn,600,2,20,High,283
6673,Manhattan,119,10,12,Medium,0
6674,Manhattan,165,2,11,Medium,0
6678,Manhattan,149,4,15,Medium,0
6679,Brooklyn,195,2,186,Medium,230
6689,Brooklyn,320,3,125,High,269
6697,Manhattan,129,10,29,Medium,0
6700,Manhattan,159,2,16,Medium,0
6713,Queens,165,2,58,Medium,163
6718,Brooklyn,175,3,14,Medium,0
6723,Manhattan,169,3,130,Medium,274
6728,Brooklyn,130,14,33,Medium,105
6730,Manhattan,180,2,11,Medium,0
6759,Brooklyn,139,1,44,Medium,0
6778,Brooklyn,105,7,53,Medium,77
6789,Brooklyn,159,3,30,Medium,0
6792,Manhattan,255,2,47,Medium,352
6794,Brooklyn,150,3,73,Medium,120
6795,Brooklyn,295,2,75,Medium,339
6798,Brooklyn,188,2,23,Medium,75
6813,Manhattan,105,2,88,Medium,266
6822,Brooklyn,145,3,209,Medium,219
6827,Manhattan,200,1,49,Medium,0
6830,Manhattan,159,4,40,Medium,267
6833,Manhattan,180,2,28,Medium,0
6835,Manhattan,120,4,19,Medium,339
6845,Brooklyn,262,2,166,Medium,0
6858,Queens,119,6,15,Medium,1
6859,Manhattan,165,30,11,Medium,274
6861,Manhattan,265,30,14,Medium,274
6862,Manhattan,130,30,12,Medium,292
6865,Brooklyn,210,3,31,Medium,0
6869,Brooklyn,126,3,98,Medium,180
6871,Manhattan,150,5,14,Medium,66
6872,Brooklyn,175,1,89,Medium,0
6874,Brooklyn,500,6,29,High,89
6875,Manhattan,110,20,13,Medium,0
6878,Manhattan,250,2,11,Medium,358
6879,Manhattan,125,1,171,Medium,121
6884,Manhattan,205,30,20,Medium,274
6892,Manhattan,125,1,31,Medium,188
6898,Manhattan,346,198,163,High,0
6900,Queens,107,30,15,Medium,311
6902,Manhattan,150,1,17,Medium,264
6906,Brooklyn,125,2,34,Medium,0
6911,Manhattan,149,2,14,Medium,0
6913,Brooklyn,190,3,32,Medium,265
6917,Manhattan,123,3,176,Medium,253
6920,Brooklyn,120,2,149,Medium,0
6922,Manhattan,180,3,38,Medium,36
6923,Brooklyn,145,2,222,Medium,109
6925,Manhattan,300,3,57,High,168
6927,Bronx,155,2,11,Medium,348
6928,Bronx,250,1,15,Medium,357
6947,Manhattan,170,3,52,Medium,316
6955,Manhattan,375,14,26,High,147
6956,Manhattan,120,5,23,Medium,151
6960,Manhattan,549,4,17,High,6
6961,Brooklyn,230,7,12,Medium,5
6967,Manhattan,135,1,168,Medium,287
6970,Brooklyn,240,14,20,Medium,238
6981,Manhattan,150,3,75,Medium,234
6982,Manhattan,169,4,147,Medium,310
6984,Manhattan,350,3,13,High,69
6985,Brooklyn,148,7,56,Medium,44
6994,Brooklyn,167,2,59,Medium,0
6995,Manhattan,125,21,45,Medium,176
7001,Brooklyn,225,3,87,Medium,275
7003,Brooklyn,174,3,198,Medium,269
7005,Manhattan,250,30,13,Medium,304
7006,Manhattan,105,30,15,Medium,285
7014,Manhattan,150,4,36,Medium,294
7016,Manhattan,125,3,21,Medium,7
7017,Manhattan,795,4,22,High,249
7018,Bronx,450,2,45,High,342
7024,Manhattan,135,1,14,Medium,332
7028,Brooklyn,150,4,119,Medium,273
7030,Manhattan,249,3,85,Medium,158
7031,Manhattan,155,30,17,Medium,316
7034,Manhattan,150,3,27,Medium,0
7041,Manhattan,165,4,72,Medium,0
7045,Manhattan,139,1,62,Medium,240
7049,Manhattan,250,3,26,Medium,96
7050,Manhattan,177,10,25,Medium,213
7055,Manhattan,125,3,211,Medium,230
7059,Manhattan,165,30,16,Medium,326
7060,Manhattan,175,4,29,Medium,7
7071,Brooklyn,160,4,16,Medium,0
7073,Brooklyn,225,1,63,Medium,0
7077,Queens,120,5,31,Medium,64
7078,Manhattan,150,4,15,Medium,5
7080,Manhattan,275,2,11,Medium,0
7081,Queens,110,14,35,Medium,177
7085,Brooklyn,115,5,51,Medium,8
7088,Brooklyn,995,2,43,High,328
7090,Manhattan,135,2,78,Medium,0
7091,Manhattan,150,1,38,Medium,307
7095,Manhattan,185,7,21,Medium,27
7104,Manhattan,198,2,15,Medium,0
7106,Manhattan,117,3,126,Medium,66
7108,Manhattan,510,3,12,High,364
7112,Brooklyn,195,6,21,Medium,42
7114,Manhattan,135,3,31,Medium,0
7116,Manhattan,115,1,28,Medium,6
7122,Manhattan,199,30,119,Medium,215
7132,Queens,105,2,19,Medium,0
7141,Manhattan,145,5,63,Medium,242
7151,Brooklyn,150,3,45,Medium,0
7156,Brooklyn,130,3,138,Medium,254
7160,Brooklyn,174,5,17,Medium,15
7161,Manhattan,149,5,13,Medium,0
7164,Staten Island,150,5,16,Medium,299
7166,Brooklyn,308,2,62,High,294
7173,Manhattan,249,3,150,Medium,159
7176,Brooklyn,135,2,79,Medium,11
7178,Manhattan,289,10,169,Medium,3
7180,Brooklyn,180,30,84,Medium,204
7196,Manhattan,135,2,195,Medium,241
7200,Manhattan,150,5,22,Medium,6
7203,Brooklyn,190,2,12,Medium,0
7204,Brooklyn,139,4,77,Medium,340
7207,Manhattan,125,3,124,Medium,347
7210,Brooklyn,120,21,12,Medium,22
7215,Manhattan,196,5,66,Medium,323
7220,Manhattan,175,2,24,Medium,0
7232,Brooklyn,150,3,109,Medium,343
7236,Manhattan,124,1,107,Medium,62
7238,Manhattan,160,1,210,Medium,265
7239,Brooklyn,160,1,111,Medium,253
7253,Brooklyn,249,3,193,Medium,344
7256,Brooklyn,495,2,95,High,285
7257,Brooklyn,120,30,21,Medium,219
7258,Manhattan,110,6,25,Medium,161
7259,Manhattan,159,2,13,Medium,10
7260,Brooklyn,189,2,177,Medium,235
7266,Manhattan,199,2,98,Medium,33
7274,Manhattan,200,2,84,Medium,272
7276,Brooklyn,300,2,62,High,274
7283,Manhattan,250,2,168,Medium,222
7287,Manhattan,170,30,20,Medium,320
7291,Manhattan,250,3,104,Medium,266
7292,Brooklyn,200,4,24,Medium,0
7294,Manhattan,250,30,13,Medium,274
7306,Manhattan,169,2,16,Medium,0
7310,Brooklyn,150,2,233,Medium,5
7311,Brooklyn,125,2,73,Medium,20
7323,Brooklyn,115,2,60,Medium,0
7325,Manhattan,185,4,137,Medium,261
7326,Manhattan,195,7,14,Medium,0
7330,Brooklyn,180,2,135,Medium,151
7333,Manhattan,134,3,139,Medium,3
7336,Brooklyn,120,2,17,Medium,0
7338,Brooklyn,169,30,136,Medium,279
7339,Brooklyn,130,14,23,Medium,33
7341,Brooklyn,122,4,21,Medium,306
7345,Manhattan,115,30,18,Medium,311
7348,Manhattan,200,6,35,Medium,11
7350,Queens,259,1,72,Medium,257
7355,Queens,134,500,30,Medium,90
7356,Manhattan,825,5,28,High,290
7360,Manhattan,250,1,15,Medium,15
7362,Brooklyn,142,4,106,Medium,247
7363,Brooklyn,120,3,194,Medium,213
7364,Manhattan,136,30,43,Medium,338
7368,Manhattan,103,2,98,Medium,237
7371,Manhattan,200,30,14,Medium,284
7372,Manhattan,145,30,11,Medium,351
7373,Brooklyn,200,14,14,Medium,0
7374,Brooklyn,160,1,54,Medium,10
7376,Manhattan,151,7,12,Medium,0
7379,Manhattan,185,30,15,Medium,336
7382,Brooklyn,119,2,83,Medium,217
7386,Brooklyn,500,1,68,High,313
7387,Manhattan,120,1,12,Medium,163
7389,Brooklyn,135,3,17,Medium,8
7390,Manhattan,524,3,57,High,115
7392,Brooklyn,159,4,142,Medium,24
7398,Manhattan,169,3,76,Medium,126
7408,Manhattan,250,2,64,Medium,27
7412,Brooklyn,165,1,75,Medium,365
7413,Brooklyn,184,3,123,Medium,292
7415,Queens,135,2,97,Medium,0
7416,Manhattan,160,2,53,Medium,0
7423,Manhattan,145,3,13,Medium,0
7430,Manhattan,750,1,50,High,345
7432,Brooklyn,250,3,16,Medium,72
7434,Brooklyn,120,7,17,Medium,0
7435,Manhattan,150,3,58,Medium,40
7445,Manhattan,140,30,11,Medium,204
7448,Manhattan,250,3,33,Medium,38
7450,Brooklyn,190,2,119,Medium,243
7451,Brooklyn,298,3,17,Medium,35
7453,Manhattan,250,2,12,Medium,0
7461,Manhattan,146,3,45,Medium,211
7464,Brooklyn,450,5,137,High,226
7465,Manhattan,160,1,169,Medium,238
7466,Manhattan,149,2,15,Medium,0
7468,Manhattan,220,3,118,Medium,180
7469,Brooklyn,120,1,282,Medium,187
7477,Brooklyn,2000,40,28,High,0
7483,Manhattan,120,3,38,Medium,178
7487,Brooklyn,190,3,16,Medium,0
7488,Manhattan,125,2,16,Medium,18
7491,Brooklyn,130,1,45,Medium,7
7503,Brooklyn,250,5,17,Medium,36
7504,Manhattan,400,2,101,High,258
7505,Brooklyn,160,3,134,Medium,338
7506,Manhattan,110,1,175,Medium,43
7507,Brooklyn,220,1,76,Medium,81
7508,Brooklyn,135,3,148,Medium,134
7515,Manhattan,475,2,57,High,141
7516,Manhattan,230,4,41,Medium,236
7522,Brooklyn,135,3,140,Medium,197
7523,Manhattan,182,4,56,Medium,148
7524,Manhattan,209,30,14,Medium,0
7537,Brooklyn,128,4,44,Medium,88
7538,Manhattan,159,30,14,Medium,265
7540,Manhattan,195,5,56,Medium,145
7542,Manhattan,160,2,57,Medium,129
7544,Manhattan,195,5,62,Medium,84
7546,Manhattan,122,3,34,Medium,0
7549,Manhattan,275,7,15,Medium,45
7552,Manhattan,125,3,51,Medium,67
7553,Brooklyn,125,3,64,Medium,132
7555,Manhattan,165,3,58,Medium,138
7556,Manhattan,129,1,178,Medium,272
7560,Manhattan,175,3,85,Medium,0
7561,Brooklyn,188,3,146,Medium,135
7569,Brooklyn,130,7,83,Medium,67
7571,Brooklyn,180,3,21,Medium,125
7579,Brooklyn,135,14,20,Medium,41
7582,Manhattan,250,3,164,Medium,71
7585,Brooklyn,125,2,40,Medium,295
7592,Manhattan,225,1,17,Medium,365
7593,Brooklyn,155,4,58,Medium,3
7594,Manhattan,165,1,166,Medium,210
7601,Brooklyn,181,2,238,Medium,302
7605,Manhattan,225,3,13,Medium,0
7612,Brooklyn,129,30,18,Medium,339
7617,Brooklyn,180,4,67,Medium,304
7619,Manhattan,244,4,38,Medium,222
7622,Brooklyn,135,2,249,Medium,248
7626,Brooklyn,140,2,232,Medium,326
7634,Brooklyn,190,2,34,Medium,341
7641,Manhattan,150,2,21,Medium,191
7646,Brooklyn,225,3,82,Medium,255
7647,Manhattan,110,30,17,Medium,276
7657,Manhattan,195,5,55,Medium,34
7661,Manhattan,150,5,48,Medium,0
7670,Manhattan,200,7,41,Medium,87
7677,Manhattan,125,3,117,Medium,228
7678,Brooklyn,148,1,11,Medium,90
7682,Brooklyn,114,2,81,Medium,160
7689,Manhattan,280,3,122,Medium,113
7694,Brooklyn,255,6,12,Medium,66
7700,Manhattan,120,5,28,Medium,355
7703,Manhattan,140,2,135,Medium,228
7705,Brooklyn,200,2,61,Medium,341
7706,Brooklyn,450,6,12,High,2
7708,Manhattan,116,2,129,Medium,89
7709,Manhattan,215,1,36,Medium,0
7710,Manhattan,160,30,36,Medium,0
7715,Brooklyn,260,7,56,Medium,132
7721,Brooklyn,115,2,153,Medium,0
7731,Brooklyn,159,3,30,Medium,254
7740,Manhattan,165,6,46,Medium,3
7744,Manhattan,125,7,11,Medium,20
7748,Brooklyn,185,3,213,Medium,298
7750,Manhattan,163,3,12,Medium,0
7752,Manhattan,195,5,19,Medium,178
7756,Manhattan,125,1,44,Medium,284
7759,Brooklyn,165,4,73,Medium,237
7760,Manhattan,144,7,17,Medium,0
7770,Brooklyn,110,2,248,Medium,1
7773,Brooklyn,234,4,11,Medium,0
7774,Brooklyn,105,14,43,Medium,319
7777,Manhattan,146,5,67,Medium,239
7781,Manhattan,179,2,55,Medium,185
7787,Brooklyn,105,1,59,Medium,213
7789,Brooklyn,150,7,12,Medium,0
7796,Manhattan,200,3,14,Medium,9
7797,Brooklyn,259,1,94,Medium,365
7799,Manhattan,179,1,28,Medium,0
7803,Brooklyn,259,2,99,Medium,296
7807,Brooklyn,132,1,143,Medium,273
7813,Manhattan,209,30,27,Medium,197
7818,Manhattan,300,2,60,High,198
7821,Brooklyn,175,5,21,Medium,0
7824,Manhattan,105,1,158,Medium,105
7827,Manhattan,450,5,37,High,108
7828,Manhattan,185,3,59,Medium,4
7831,Brooklyn,218,2,137,Medium,250
7833,Brooklyn,350,2,71,High,287
7835,Brooklyn,150,3,51,Medium,180
7839,Manhattan,285,30,74,Medium,284
7845,Brooklyn,175,2,42,Medium,0
7846,Manhattan,1200,5,43,High,309
7848,Brooklyn,160,2,105,Medium,18
7850,Manhattan,499,30,11,High,332
7852,Brooklyn,105,2,127,Medium,113
7853,Brooklyn,245,5,32,Medium,305
7854,Brooklyn,139,2,119,Medium,175
7860,Manhattan,150,1,44,Medium,0
7862,Brooklyn,109,3,79,Medium,0
7863,Manhattan,140,7,59,Medium,268
7869,Manhattan,155,5,87,Medium,99
7884,Manhattan,163,2,396,Medium,143
7885,Brooklyn,225,3,29,Medium,56
7890,Manhattan,168,30,12,Medium,58
7894,Manhattan,109,4,191,Medium,243
7903,Manhattan,149,4,14,Medium,0
7907,Manhattan,499,1,19,High,296
7911,Manhattan,341,3,138,High,58
7913,Brooklyn,128,5,83,Medium,52
7914,Bronx,110,2,95,Medium,283
7915,Brooklyn,179,8,39,Medium,113
7918,Brooklyn,149,2,22,Medium,365
7922,Queens,369,2,74,High,256
7925,Manhattan,195,3,67,Medium,85
7926,Manhattan,257,3,11,Medium,0
7927,Queens,145,4,38,Medium,125
7942,Manhattan,105,90,163,Medium,316
7945,Manhattan,200,4,30,Medium,0
7946,Manhattan,170,5,26,Medium,115
7948,Manhattan,285,30,104,Medium,249
7951,Queens,115,1,51,Medium,78
7957,Manhattan,200,6,24,Medium,188
7959,Brooklyn,350,5,11,High,12
7960,Manhattan,101,3,65,Medium,138
7968,Manhattan,195,2,60,Medium,16
7970,Manhattan,250,2,28,Medium,328
7977,Manhattan,150,5,36,Medium,0
7980,Manhattan,198,2,161,Medium,252
7983,Manhattan,105,30,12,Medium,227
7984,Manhattan,225,30,276,Medium,338
7985,Brooklyn,125,4,16,Medium,339
7986,Brooklyn,110,2,19,Medium,0
7994,Queens,275,3,96,Medium,333
7995,Brooklyn,129,3,103,Medium,156
8002,Brooklyn,275,3,78,Medium,0
8004,Manhattan,180,2,25,Medium,200
8013,Queens,150,2,65,Medium,171
8015,Manhattan,200,2,14,Medium,0
8021,Manhattan,210,2,44,Medium,0
8035,Brooklyn,163,30,37,Medium,186
8043,Brooklyn,200,3,30,Medium,364
8052,Manhattan,130,2,34,Medium,0
8055,Brooklyn,750,1,15,High,364
8059,Manhattan,250,30,25,Medium,0
8063,Queens,153,4,77,Medium,252
8064,Brooklyn,150,4,95,Medium,0
8065,Manhattan,280,3,46,Medium,64
8067,Manhattan,155,5,22,Medium,362
8069,Manhattan,182,4,51,Medium,317
8070,Manhattan,105,3,75,Medium,338
8073,Brooklyn,109,30,23,Medium,188
8079,Manhattan,120,3,116,Medium,231
8084,Brooklyn,125,3,165,Medium,249
8086,Brooklyn,130,1,94,Medium,0
8091,Bronx,125,2,41,Medium,342
8102,Bronx,119,4,48,Medium,223
8107,Brooklyn,150,7,47,Medium,291
8108,Brooklyn,115,3,40,Medium,18
8110,Brooklyn,165,6,30,Medium,0
8111,Bronx,105,2,80,Medium,365
8117,Manhattan,322,4,89,High,76
8118,Brooklyn,119,3,126,Medium,0
8130,Brooklyn,150,3,139,Medium,238
8142,Brooklyn,225,3,24,Medium,17
8146,Manhattan,276,4,46,Medium,9
8148,Manhattan,199,1,39,Medium,192
8150,Brooklyn,145,3,99,Medium,327
8171,Manhattan,245,3,62,Medium,350
8190,Brooklyn,129,3,12,Medium,75
8191,Brooklyn,280,3,152,Medium,274
8192,Brooklyn,132,3,120,Medium,214
8202,Manhattan,150,3,107,Medium,99
8212,Manhattan,145,3,143,Medium,252
8213,Manhattan,120,60,140,Medium,283
8218,Manhattan,295,2,94,Medium,272
8219,Brooklyn,104,3,60,Medium,320
8220,Brooklyn,150,2,63,Medium,0
8225,Brooklyn,125,3,90,Medium,155
8248,Brooklyn,185,1,69,Medium,309
8254,Brooklyn,145,3,18,Medium,0
8255,Manhattan,325,1,66,High,67
8268,Manhattan,284,4,11,Medium,0
8277,Manhattan,140,1,159,Medium,249
8282,Brooklyn,129,1,116,Medium,236
8286,Brooklyn,276,3,19,Medium,78
8287,Manhattan,130,3,26,Medium,0
8291,Manhattan,399,1,28,High,354
8298,Brooklyn,130,3,97,Medium,348
8304,Brooklyn,350,3,15,High,0
8309,Manhattan,375,2,15,High,365
8321,Manhattan,275,1,35,Medium,0
8322,Queens,168,3,133,Medium,336
8328,Brooklyn,201,2,175,Medium,68
8340,Brooklyn,119,4,91,Medium,316
8341,Manhattan,185,3,26,Medium,0
8350,Queens,105,2,204,Medium,313
8359,Manhattan,272,1,38,Medium,360
8362,Manhattan,129,2,290,Medium,26
8367,Brooklyn,160,2,64,Medium,341
8369,Brooklyn,145,6,17,Medium,15
8370,Queens,125,2,44,Medium,319
8381,Brooklyn,250,2,176,Medium,275
8383,Brooklyn,120,2,56,Medium,314
8384,Manhattan,115,2,246,Medium,69
8388,Manhattan,140,2,50,Medium,0
8392,Brooklyn,320,4,56,High,141
8398,Manhattan,155,3,116,Medium,247
8403,Manhattan,125,2,21,Medium,0
8405,Brooklyn,110,1,179,Medium,118
8407,Brooklyn,215,3,14,Medium,0
8408,Brooklyn,150,2,17,Medium,336
8409,Manhattan,295,3,22,Medium,0
8422,Manhattan,245,4,27,Medium,0
8423,Brooklyn,110,3,137,Medium,154
8429,Brooklyn,150,1,24,Medium,299
8430,Manhattan,247,5,25,Medium,0
8437,Manhattan,199,2,71,Medium,0
8439,Manhattan,150,2,150,Medium,2
8441,Brooklyn,105,5,33,Medium,8
8444,Manhattan,130,3,14,Medium,293
8446,Brooklyn,150,5,15,Medium,0
8449,Brooklyn,145,4,59,Medium,157
8450,Manhattan,220,2,13,Medium,0
8452,Brooklyn,175,1,150,Medium,300
8454,Manhattan,200,5,95,Medium,182
8458,Manhattan,135,3,11,Medium,0
8461,Brooklyn,395,5,16,High,67
8462,Manhattan,379,7,45,High,364
8467,Brooklyn,133,2,49,Medium,319
8473,Brooklyn,140,3,14,Medium,0
8477,Manhattan,115,3,71,Medium,4
8478,Queens,120,1,26,Medium,14
8479,Queens,300,1,67,High,344
8490,Manhattan,340,2,19,High,0
8495,Brooklyn,149,30,35,Medium,0
8501,Manhattan,194,2,36,Medium,0
8508,Manhattan,185,2,52,Medium,35
8511,Staten Island,105,3,69,Medium,343
8512,Queens,130,1,137,Medium,197
8522,Manhattan,900,3,13,High,24
8526,Manhattan,240,5,82,Medium,158
8527,Brooklyn,150,3,16,Medium,0
8530,Manhattan,1000,30,27,High,364
8534,Brooklyn,150,5,15,Medium,342
8536,Brooklyn,145,3,130,Medium,105
8541,Manhattan,155,2,36,Medium,164
8548,Manhattan,350,2,34,High,0
8552,Manhattan,180,2,62,Medium,261
8555,Queens,149,1,56,Medium,361
8557,Manhattan,140,4,119,Medium,29
8562,Manhattan,177,3,122,Medium,199
8563,Brooklyn,275,30,12,Medium,70
8565,Manhattan,105,2,111,Medium,92
8570,Brooklyn,110,1,48,Medium,0
8576,Brooklyn,145,3,133,Medium,277
8582,Brooklyn,225,3,52,Medium,297
8584,Brooklyn,120,7,20,Medium,0
8585,Manhattan,175,1,70,Medium,123
8588,Manhattan,150,4,11,Medium,319
8590,Brooklyn,300,3,18,High,217
8591,Queens,180,1,145,Medium,33
8592,Brooklyn,375,3,46,High,217
8600,Manhattan,184,4,11,Medium,273
8604,Brooklyn,110,3,58,Medium,205
8606,Brooklyn,189,2,92,Medium,239
8608,Manhattan,150,3,12,Medium,38
8625,Manhattan,250,3,68,Medium,166
8629,Brooklyn,150,5,12,Medium,0
8631,Manhattan,225,3,11,Medium,0
8632,Queens,290,4,13,Medium,277
8636,Manhattan,140,1,221,Medium,187
8637,Manhattan,399,3,38,High,311
8646,Manhattan,140,3,64,Medium,5
8647,Manhattan,169,4,11,Medium,0
8649,Brooklyn,169,2,49,Medium,4
8652,Brooklyn,145,5,25,Medium,0
8655,Manhattan,145,5,18,Medium,179
8659,Brooklyn,165,2,13,Medium,0
8667,Brooklyn,177,3,78,Medium,177
8671,Manhattan,280,2,29,Medium,0
8675,Manhattan,140,1,52,Medium,222
8679,Brooklyn,175,4,34,Medium,286
8690,Manhattan,130,3,11,Medium,106
8695,Brooklyn,150,4,70,Medium,293
8700,Brooklyn,600,4,28,High,295
8701,Brooklyn,125,3,20,Medium,0
8703,Manhattan,130,1,13,Medium,0
8710,Manhattan,265,2,90,Medium,11
8714,Manhattan,127,2,30,Medium,0
8715,Manhattan,108,2,17,Medium,0
8717,Brooklyn,440,4,23,High,7
8722,Manhattan,250,5,14,Medium,5
8727,Manhattan,1495,1,11,High,0
8731,Manhattan,399,4,15,High,5
8743,Brooklyn,275,3,21,Medium,5
8754,Manhattan,170,10,11,Medium,0
8768,Brooklyn,115,4,13,Medium,18
8770,Queens,160,3,29,Medium,179
8780,Manhattan,120,1,11,Medium,0
8782,Staten Island,155,3,63,Medium,0
8785,Manhattan,200,3,47,Medium,0
8787,Manhattan,199,2,14,Medium,0
8789,Manhattan,105,15,33,Medium,5
8791,Manhattan,256,4,11,Medium,0
8792,Manhattan,499,3,35,High,223
8795,Brooklyn,180,3,35,Medium,18
8798,Brooklyn,150,3,208,Medium,238
8801,Brooklyn,147,3,55,Medium,5
8802,Manhattan,220,3,108,Medium,24
8805,Manhattan,888,2,42,High,35
8814,Brooklyn,160,3,27,Medium,193
8816,Brooklyn,125,3,181,Medium,111
8828,Manhattan,130,4,16,Medium,0
8844,Manhattan,110,4,12,Medium,0
8853,Manhattan,155,1,176,Medium,248
8854,Manhattan,210,1,182,Medium,249
8861,Manhattan,155,1,179,Medium,243
8871,Manhattan,255,1,192,Medium,305
8872,Manhattan,245,1,162,Medium,1
8873,Manhattan,155,1,201,Medium,240
8874,Manhattan,155,1,200,Medium,240
8875,Brooklyn,148,1,12,Medium,90
8876,Manhattan,155,1,203,Medium,211
8877,Manhattan,165,1,153,Medium,271
8878,Manhattan,155,1,189,Medium,245
8879,Brooklyn,389,3,18,High,0
8896,Queens,135,1,229,Medium,89
8898,Manhattan,460,4,11,High,0
8899,Brooklyn,110,4,15,Medium,97
8900,Brooklyn,225,2,24,Medium,189
8907,Brooklyn,177,3,144,Medium,260
8915,Manhattan,2000,1,18,High,365
8931,Manhattan,245,3,18,Medium,307
8933,Manhattan,150,2,106,Medium,318
8936,Brooklyn,125,4,148,Medium,11
8941,Manhattan,110,2,68,Medium,44
8942,Manhattan,185,2,14,Medium,155
8946,Brooklyn,250,29,16,Medium,300
8950,Manhattan,244,2,22,Medium,1
8953,Manhattan,150,30,17,Medium,0
8954,Brooklyn,150,4,93,Medium,320
8958,Manhattan,259,3,20,Medium,0
8964,Manhattan,198,2,17,Medium,0
8965,Queens,300,2,13,High,365
8966,Manhattan,295,1,17,Medium,175
8975,Manhattan,199,3,13,Medium,4
8977,Brooklyn,109,2,224,Medium,73
8978,Brooklyn,120,2,15,Medium,334
8986,Queens,125,1,262,Medium,246
8987,Brooklyn,155,2,114,Medium,250
8992,Brooklyn,120,5,19,Medium,1
8996,Manhattan,150,3,13,Medium,0
9000,Brooklyn,122,3,101,Medium,293
9010,Manhattan,269,7,31,Medium,11
9016,Manhattan,154,2,37,Medium,0
9030,Brooklyn,139,4,152,Medium,281
9035,Manhattan,900,7,28,High,340
9041,Brooklyn,229,3,22,Medium,0
9042,Manhattan,195,1,15,Medium,0
9050,Manhattan,140,2,57,Medium,0
9061,Brooklyn,160,1,70,Medium,356
9063,Queens,110,2,14,Medium,0
